Cena,Dzielnica,Pietro,Powierzchnia,Rok budowy,Rynek,Stan_wykonczenia,Wlasnosc,Zabudowa
"790000,0",Sielce,2,"72,69",2008,wtórny,do zamieszkania,pełna własność,apartamentowiec
"770000,0",Sielce,2,"78,5",2018,wtórny,do wykończenia,spółdzielcze własnościowe,apartamentowiec
"495000,0",Sielce,3,"49,7",1938,wtórny,do wykończenia,pełna własność,kamienica
"360000,0",Sielce,3,"36,5",1962,wtórny,do remontu,pełna własność,blok
"615000,0",Skorosze,4,"85,6",2004,wtórny,do zamieszkania,pełna własność,
"599000,0",Skorosze,7,"70,5",2009,wtórny,do zamieszkania,pełna własność,apartamentowiec
"589000,0",Skorosze,6,"60,4",2012,wtórny,do zamieszkania,,blok
"560000,0",Skorosze,6,66,2002,wtórny,do zamieszkania,pełna własność,blok
"511475,0",Skorosze,4,63,2004,wtórny,do zamieszkania,pełna własność,blok
"510000,0",Skorosze,1,55,2013,wtórny,do zamieszkania,pełna własność,blok
"509000,0",Skorosze,4,63,2004,wtórny,do zamieszkania,pełna własność,blok
"465000,0",Skorosze,4,50,2013,wtórny,,pełna własność,apartamentowiec
"448000,0",Skorosze,2,"45,2",2013,wtórny,do zamieszkania,pełna własność,blok
"440000,0",Skorosze,6,"55,66",2006,wtórny,,pełna własność,apartamentowiec
"375000,0",Skorosze,2,54,,wtórny,do zamieszkania,spółdzielcze wł. z KW,
"375000,0",Skorosze,4,"56,53",2001,wtórny,,pełna własność,blok
"355000,0",Skorosze,parter,"41,5",2004,wtórny,do zamieszkania,pełna własność,apartamentowiec
"455000,0",Słodowiec,10,"56,6",1970,wtórny,,spółdzielcze własnościowe,blok
"379000,0",Słodowiec,parter,50,1961,wtórny,do zamieszkania,pełna własność,blok
"565000,0",Służew,7,59,1980,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"319000,0",Służew,3,34,1976,wtórny,do remontu,spółdzielcze własnościowe,blok
"1297000,0",Służewiec,3,89,2014,wtórny,do zamieszkania,,apartamentowiec
"790000,0",Służewiec,1,"65,77",2016,wtórny,do zamieszkania,,apartamentowiec
"495000,0",Służewiec,7,48,2006,wtórny,,,blok
"438000,0",Służewiec,6,37,2018,wtórny,,pełna własność,apartamentowiec
"264000,0",Służewiec,2,"29,25",,wtórny,do wykończenia,,apartamentowiec
"685000,0",Stara Ochota,3,"57,5",1950,wtórny,,,kamienica
"685000,0",Stara Ochota,3,57,1954,wtórny,do zamieszkania,pełna własność,kamienica
"590000,0",Stara Ochota,2,55,1936,wtórny,do zamieszkania,pełna własność,kamienica
"550000,0",Stara Ochota,4,50,1950,wtórny,do zamieszkania,pełna własność,kamienica
"515000,0",Stara Ochota,1,50,1953,wtórny,do zamieszkania,pełna własność,kamienica
"479000,0",Stara Ochota,2,53,1952,wtórny,,,kamienica
"471000,0",Stara Ochota,3,"55,3",1955,wtórny,do remontu,pełna własność,kamienica
"405000,0",Stara Ochota,1,"39,5",1965,wtórny,do remontu,spółdzielcze wł. z KW,blok
"377000,0",Stara Ochota,> 10,37,1968,wtórny,,pełna własność,
"1980000,0",Stare Bielany,,150,1926,wtórny,do zamieszkania,pełna własność,szeregowiec
"475000,0",Stare Bielany,10,47,1969,wtórny,do zamieszkania,pełna własność,blok
"619500,0",Stare Włochy,2,69,2003,wtórny,do zamieszkania,pełna własność,blok
"529000,0",Stare Włochy,4,"75,6",1991,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"483840,0",Stare Włochy,parter,64,1930,wtórny,,udział,kamienica
"440000,0",Stare Włochy,3,50,,wtórny,do remontu,,kamienica
"330000,0",Stary Rembertów,parter,42,2009,wtórny,do zamieszkania,pełna własność,kamienica
"1700000,0",Stary Żoliborz,1,105,1938,wtórny,,pełna własność,kamienica
"920000,0",Stary Żoliborz,2,80,2009,wtórny,do zamieszkania,pełna własność,apartamentowiec
"590000,0",Stary Żoliborz,1,"48,85",1936,wtórny,do zamieszkania,spółdzielcze wł. z KW,kamienica
"410000,0",Stary Żoliborz,parter,39,1918,wtórny,do zamieszkania,pełna własność,kamienica
"1160000,0",Stegny,3,122,2008,wtórny,,pełna własność,apartamentowiec
"1054793,0",Stegny,2,"96,77",2009,wtórny,do wykończenia,pełna własność,apartamentowiec
"430000,0",Stegny,4,"63,7",1974,wtórny,do wykończenia,spółdzielcze wł. z KW,blok
"464000,0",Stokłosy,4,49,,wtórny,,,
"1239000,0",Szczęśliwice,3,105,2020,pierwotny,do wykończenia,pełna własność,apartamentowiec
"1160000,0",Szczęśliwice,1,129,2002,wtórny,,,apartamentowiec
"1000000,0",Szczęśliwice,2,"98,43",2009,wtórny,,pełna własność,blok
"650000,0",Szczęśliwice,parter,63,1992,wtórny,,pełna własność,apartamentowiec
"560000,0",Szczęśliwice,,54,,wtórny,,,
"450000,0",Szczęśliwice,3,62,1980,wtórny,,spółdzielcze własnościowe,blok
"390000,0",Szczęśliwice,1,40,1970,wtórny,,,blok
"350000,0",Szczęśliwice,1,"35,08",1960,wtórny,do remontu,,blok
"2650000,0",Szmulowizna,5,"146,06",2015,wtórny,do zamieszkania,pełna własność,apartamentowiec
"373000,0",Szmulowizna,3,34,2018,wtórny,do zamieszkania,pełna własność,kamienica
"7122150,0",Śródmieście,,"178,5",,pierwotny,do zamieszkania,,
"6900000,0",Śródmieście,5,240,1914,wtórny,,pełna własność,kamienica
"6800000,0",Śródmieście,3,"202,77",2008,wtórny,,,
"6800000,0",Śródmieście,3,"195,36",2008,wtórny,,pełna własność,apartamentowiec
"6600000,0",Śródmieście,> 10,"163,3",2015,wtórny,,,
"5904820,0",Śródmieście,,"155,8",,pierwotny,do zamieszkania,,
"5800000,0",Śródmieście,> 10,165,2015,wtórny,,pełna własność,
"5520000,0",Śródmieście,> 10,"172,4",,pierwotny,,pełna własność,apartamentowiec
"5290000,0",Śródmieście,> 10,133,2017,pierwotny,do zamieszkania,pełna własność,apartamentowiec
"5000000,0",Śródmieście,3,147,1901,wtórny,,pełna własność,kamienica
"5000000,0",Śródmieście,> 10,303,2004,wtórny,,pełna własność,blok
"4500000,0",Śródmieście,> 10,122,,wtórny,,,apartamentowiec
"4480000,0",Śródmieście,6,212,2017,wtórny,,,apartamentowiec
"4290000,0",Śródmieście,> 10,99,2017,pierwotny,do zamieszkania,pełna własność,apartamentowiec
"4102280,0",Śródmieście,,"137,2",,pierwotny,,,
"3880000,0",Śródmieście,4,"120,16",2010,wtórny,,pełna własność,apartamentowiec
"3550000,0",Śródmieście,4,135,2017,wtórny,do zamieszkania,pełna własność,apartamentowiec
"3500000,0",Śródmieście,2,126,2014,wtórny,do zamieszkania,pełna własność,
"3450000,0",Śródmieście,> 10,85,2017,wtórny,do zamieszkania,pełna własność,apartamentowiec
"3166508,0",Śródmieście,> 10,"95,7",,pierwotny,,pełna własność,apartamentowiec
"3107060,0",Śródmieście,,"97,4",,pierwotny,,,apartamentowiec
"2999000,0",Śródmieście,> 10,"76,1",2017,wtórny,do zamieszkania,pełna własność,apartamentowiec
"2990000,0",Śródmieście,1,"126,3",2019,wtórny,,,apartamentowiec
"2990000,0",Śródmieście,1,"126,3",2019,wtórny,,,apartamentowiec
"2950000,0",Śródmieście,5,132,1925,wtórny,,,kamienica
"2850000,0",Śródmieście,3,108,2013,wtórny,,pełna własność,apartamentowiec
"2850000,0",Śródmieście,7,107,1920,wtórny,do zamieszkania,pełna własność,kamienica
"2839500,0",Śródmieście,> 10,"63,1",,pierwotny,,pełna własność,apartamentowiec
"2599000,0",Śródmieście,4,"176,19",1895,wtórny,,pełna własność,kamienica
"2480000,0",Śródmieście,1,"130,1",,wtórny,do remontu,,apartamentowiec
"2200000,0",Śródmieście,5,117,2010,wtórny,,pełna własność,
"2150000,0",Śródmieście,2,90,,wtórny,,,apartamentowiec
"2150000,0",Śródmieście,2,"96,9",2009,wtórny,do zamieszkania,pełna własność,apartamentowiec
"2150000,0",Śródmieście,4,120,2009,wtórny,,pełna własność,apartamentowiec
"2100000,0",Śródmieście,4,115,1912,wtórny,do remontu,pełna własność,kamienica
"1830000,0",Śródmieście,5,"110,8",2008,wtórny,,pełna własność,apartamentowiec
"1800000,0",Śródmieście,4,71,,wtórny,,,kamienica
"1800000,0",Śródmieście,,143,1954,wtórny,,pełna własność,kamienica
"1660000,0",Śródmieście,6,"66,4",,wtórny,,,apartamentowiec
"1600000,0",Śródmieście,2,98,1913,wtórny,,pełna własność,kamienica
"1597000,0",Śródmieście,3,110,2007,wtórny,do zamieszkania,pełna własność,apartamentowiec
"1560000,0",Śródmieście,3,"104,87",1970,wtórny,,,
"1550000,0",Śródmieście,3,"83,36",2018,pierwotny,do wykończenia,pełna własność,kamienica
"1550000,0",Śródmieście,1,"121,3",1913,wtórny,do wykończenia,pełna własność,kamienica
"1400000,0",Śródmieście,5,"85,59",1938,wtórny,do zamieszkania,,kamienica
"1390000,0",Śródmieście,7,147,2000,wtórny,do zamieszkania,pełna własność,apartamentowiec
"1334000,0",Śródmieście,3,112,1948,wtórny,do zamieszkania,pełna własność,kamienica
"1250000,0",Śródmieście,,"87,15",1935,wtórny,,pełna własność,
"1220000,0",Śródmieście,8,"74,11",2016,wtórny,,,apartamentowiec
"1219000,0",Śródmieście,4,46,2009,wtórny,,pełna własność,
"1150000,0",Śródmieście,,63,2001,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"1150000,0",Śródmieście,1,109,1927,wtórny,do remontu,pełna własność,kamienica
"1130000,0",Śródmieście,parter,84,1920,wtórny,,pełna własność,kamienica
"1120000,0",Śródmieście,3,"79,3",1956,wtórny,do remontu,pełna własność,kamienica
"1100000,0",Śródmieście,2,74,1930,wtórny,do zamieszkania,pełna własność,kamienica
"1050000,0",Śródmieście,3,"75,51",,wtórny,do zamieszkania,pełna własność,kamienica
"999000,0",Śródmieście,3,82,1954,wtórny,,pełna własność,kamienica
"990000,0",Śródmieście,4,"93,5",2001,wtórny,do zamieszkania,pełna własność,apartamentowiec
"990000,0",Śródmieście,2,"63,37",2018,wtórny,do wykończenia,pełna własność,apartamentowiec
"990000,0",Śródmieście,4,126,1998,wtórny,do zamieszkania,pełna własność,
"990000,0",Śródmieście,,60,,wtórny,,pełna własność,
"949000,0",Śródmieście,1,101,,wtórny,do wykończenia,pełna własność,kamienica
"920000,0",Śródmieście,1,"95,9",1999,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"899000,0",Śródmieście,10,71,2006,wtórny,do zamieszkania,pełna własność,apartamentowiec
"882000,0",Śródmieście,9,"97,2",2000,wtórny,do zamieszkania,spółdzielcze wł. z KW,apartamentowiec
"879000,0",Śródmieście,3,67,1911,wtórny,do remontu,pełna własność,kamienica
"865000,0",Śródmieście,9,61,1960,wtórny,do zamieszkania,pełna własność,kamienica
"865000,0",Śródmieście,9,61,1966,wtórny,do zamieszkania,pełna własność,blok
"850000,0",Śródmieście,parter,64,1917,wtórny,do zamieszkania,pełna własność,kamienica
"828000,0",Śródmieście,1,72,1959,wtórny,do remontu,spółdzielcze wł. z KW,
"825000,0",Śródmieście,8,59,2018,wtórny,do zamieszkania,pełna własność,apartamentowiec
"819000,0",Śródmieście,3,63,1911,wtórny,do remontu,pełna własność,kamienica
"800000,0",Śródmieście,2,53,1950,wtórny,do remontu,pełna własność,kamienica
"799000,0",Śródmieście,3,"73,9",1916,wtórny,do zamieszkania,pełna własność,kamienica
"799000,0",Śródmieście,4,63,1939,wtórny,do remontu,pełna własność,kamienica
"790000,0",Śródmieście,2,"76,4",1991,wtórny,,,
"768600,0",Śródmieście,6,61,1937,wtórny,,pełna własność,kamienica
"760000,0",Śródmieście,,"47,5",7,wtórny,,pełna własność,
"750000,0",Śródmieście,4,"58,72",1952,wtórny,do remontu,pełna własność,kamienica
"735000,0",Śródmieście,1,53,1960,wtórny,do zamieszkania,pełna własność,blok
"730000,0",Śródmieście,4,55,1956,wtórny,do zamieszkania,pełna własność,kamienica
"719000,0",Śródmieście,5,"64,25",2019,pierwotny,do wykończenia,pełna własność,apartamentowiec
"719000,0",Śródmieście,2,"44,5",,wtórny,do zamieszkania,pełna własność,kamienica
"700000,0",Śródmieście,4,"64,32",1931,wtórny,do remontu,pełna własność,kamienica
"682500,0",Śródmieście,3,44,1937,wtórny,do zamieszkania,pełna własność,kamienica
"680000,0",Śródmieście,3,"37,09",2006,wtórny,do zamieszkania,,blok
"679000,0",Śródmieście,6,"48,21",2010,wtórny,do zamieszkania,pełna własność,apartamentowiec
"675000,0",Śródmieście,1,52,1950,wtórny,do remontu,pełna własność,kamienica
"669000,0",Śródmieście,3,50,1955,wtórny,do zamieszkania,pełna własność,kamienica
"620000,0",Śródmieście,> 10,"57,2",1970,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"600000,0",Śródmieście,3,50,,wtórny,do zamieszkania,,kamienica
"599000,0",Śródmieście,4,34,1950,wtórny,do zamieszkania,pełna własność,kamienica
"585000,0",Śródmieście,2,55,2008,wtórny,,pełna własność,apartamentowiec
"545000,0",Śródmieście,parter,52,1950,wtórny,do zamieszkania,pełna własność,kamienica
"525000,0",Śródmieście,2,50,1962,wtórny,do remontu,pełna własność,kamienica
"499000,0",Śródmieście,3,34,,wtórny,do zamieszkania,pełna własność,kamienica
"470000,0",Śródmieście,4,51,1963,wtórny,,spółdzielcze wł. z KW,blok
"459000,0",Śródmieście,parter,36,,wtórny,do zamieszkania,pełna własność,kamienica
"450000,0",Śródmieście,3,44,1892,wtórny,do remontu,pełna własność,kamienica
"440000,0",Śródmieście,2,36,1960,wtórny,do zamieszkania,pełna własność,blok
"440000,0",Śródmieście,1,29,1954,wtórny,do zamieszkania,spółdzielcze wł. z KW,kamienica
"425000,0",Śródmieście,3,"32,58",1938,wtórny,,pełna własność,kamienica
"400000,0",Śródmieście,8,21,,wtórny,do zamieszkania,pełna własność,blok
"399900,0",Śródmieście,3,26,,wtórny,do zamieszkania,,kamienica
"399900,0",Śródmieście,4,40,,wtórny,do zamieszkania,pełna własność,blok
"398000,0",Śródmieście,> 10,"39,5",1971,wtórny,do remontu,spółdzielcze własnościowe,blok
"379000,0",Śródmieście,9,"28,1",1968,wtórny,do zamieszkania,pełna własność,blok
"370000,0",Śródmieście,6,28,1970,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"315000,0",Śródmieście,4,24,,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"1250000,0",Śródmieście Południowe,4,"77,3",1956,wtórny,,,kamienica
"1150000,0",Śródmieście Południowe,5,"80,26",1910,wtórny,do wykończenia,pełna własność,kamienica
"1097000,0",Śródmieście Południowe,5,82,1950,wtórny,do zamieszkania,pełna własność,kamienica
"1092000,0",Śródmieście Południowe,3,78,1958,wtórny,do zamieszkania,pełna własność,kamienica
"779000,0",Śródmieście Południowe,2,43,1930,wtórny,do zamieszkania,pełna własność,kamienica
"695000,0",Śródmieście Południowe,parter,"50,31",1937,wtórny,do remontu,pełna własność,kamienica
"695000,0",Śródmieście Południowe,parter,"50,51",1937,wtórny,,,kamienica
"651000,0",Śródmieście Południowe,suterena,"38,3",1920,wtórny,do zamieszkania,pełna własność,kamienica
"628000,0",Śródmieście Południowe,3,47,,wtórny,do zamieszkania,pełna własność,kamienica
"419900,0",Śródmieście Południowe,1,24,,wtórny,do zamieszkania,pełna własność,kamienica
"419000,0",Śródmieście Południowe,1,"37,7",,wtórny,do zamieszkania,pełna własność,blok
"1635000,0",Śródmieście Północne,2,82,1951,wtórny,do wykończenia,pełna własność,kamienica
"1400000,0",Śródmieście Północne,3,84,1960,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"759900,0",Śródmieście Północne,3,49,1956,wtórny,do zamieszkania,pełna własność,kamienica
"525000,0",Śródmieście Północne,1,"45,35",1950,wtórny,do zamieszkania,pełna własność,kamienica
"330000,0",Śródmieście Północne,9,"28,8",1967,wtórny,do zamieszkania,pełna własność,blok
"535000,0",Tarchomin,3,"68,87",2010,wtórny,do zamieszkania,pełna własność,blok
"457301,4",Tarchomin,3,"60,33",2020,pierwotny,,,blok
"425000,0",Tarchomin,parter,"54,3",2005,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"413644,8",Tarchomin,3,"53,86",2020,pierwotny,,,blok
"399000,0",Tarchomin,1,"61,2",2002,wtórny,,pełna własność,blok
"384000,0",Tarchomin,2,56,2009,wtórny,,,blok
"381646,2",Tarchomin,1,"58,76",2019,pierwotny,do wykończenia,pełna własność,blok
"368000,0",Tarchomin,,52,,pierwotny,,,
"363648,6",Tarchomin,4,"45,57",2020,pierwotny,,,blok
"357000,0",Tarchomin,1,52,2020,pierwotny,do wykończenia,pełna własność,blok
"315180,0",Tarchomin,3,"46,35",2020,pierwotny,,pełna własność,
"310000,0",Tarchomin,1,49,,pierwotny,,pełna własność,apartamentowiec
"301363,2",Tarchomin,parter,"39,24",2020,pierwotny,,,blok
"299000,0",Tarchomin,3,"39,9",2000,wtórny,do remontu,pełna własność,blok
"291462,0",Tarchomin,1,"47,01",2020,pierwotny,do wykończenia,,apartamentowiec
"270891,0",Tarchomin,1,"42,66",2019,pierwotny,do wykończenia,pełna własność,blok
"269000,0",Tarchomin,parter,35,2006,wtórny,do zamieszkania,pełna własność,blok
"265000,0",Tarchomin,parter,"32,08",2003,wtórny,do zamieszkania,pełna własność,blok
"254200,0",Tarchomin,,41,2021,pierwotny,do wykończenia,pełna własność,blok
"229000,0",Tarchomin,,31,,pierwotny,,,
"222780,0",Tarchomin,parter,"30,22",2020,pierwotny,do wykończenia,pełna własność,blok
"222000,0",Tarchomin,parter,30,2020,pierwotny,do wykończenia,pełna własność,blok
"199900,0",Tarchomin,4,25,2001,wtórny,do zamieszkania,pełna własność,blok
"898000,0",Targówek,1,"104,08",2001,wtórny,do zamieszkania,spółdzielcze własnościowe,apartamentowiec
"660000,0",Targówek,2,75,2008,wtórny,do zamieszkania,pełna własność,apartamentowiec
"620000,0",Targówek,3,72,2007,wtórny,do zamieszkania,pełna własność,blok
"552000,0",Targówek,parter,"60,19",2009,wtórny,do zamieszkania,pełna własność,blok
"524000,0",Targówek,1,69,2019,pierwotny,do wykończenia,pełna własność,blok
"499000,0",Targówek,3,60,2000,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"490000,0",Targówek,2,100,2008,wtórny,do zamieszkania,pełna własność,apartamentowiec
"415000,0",Targówek,6,"49,4",2002,wtórny,do zamieszkania,pełna własność,blok
"390000,0",Targówek,3,"52,8",1976,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"389000,0",Targówek,1,70,2018,wtórny,do wykończenia,pełna własność,blok
"385000,0",Targówek,8,"55,8",1978,wtórny,,,
"349900,0",Targówek,1,47,1970,wtórny,do remontu,pełna własność,blok
"339000,0",Targówek,2,"34,67",,wtórny,do wykończenia,pełna własność,kamienica
"333000,0",Targówek,1,48,2010,wtórny,do zamieszkania,pełna własność,szeregowiec
"325000,0",Targówek,10,"46,1",1973,wtórny,do remontu,spółdzielcze własnościowe,blok
"300000,0",Targówek,2,46,2020,pierwotny,do wykończenia,pełna własność,blok
"839000,0",Targówek Mieszkaniowy,3,83,2015,wtórny,,,blok
"679000,0",Targówek Mieszkaniowy,1,67,2008,wtórny,do zamieszkania,pełna własność,apartamentowiec
"539000,0",Targówek Mieszkaniowy,7,"60,5",1972,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"450000,0",Targówek Mieszkaniowy,1,"60,8",1980,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"425000,0",Targówek Mieszkaniowy,4,46,1977,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"420000,0",Targówek Mieszkaniowy,7,54,1975,wtórny,do zamieszkania,pełna własność,blok
"375000,0",Targówek Mieszkaniowy,1,46,1980,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"1330000,0",Ursus,,"134,4",,wtórny,,,
"750000,0",Ursus,3,"95,1",2010,wtórny,do zamieszkania,pełna własność,blok
"670000,0",Ursus,1,"79,5",2006,wtórny,do zamieszkania,pełna własność,blok
"640000,0",Ursus,1,"74,2",1998,wtórny,do zamieszkania,pełna własność,blok
"630000,0",Ursus,parter,70,2010,wtórny,do zamieszkania,pełna własność,blok
"590000,0",Ursus,2,"70,28",2013,wtórny,do zamieszkania,pełna własność,dom wolnostojący
"559000,0",Ursus,6,"58,7",2013,wtórny,do zamieszkania,pełna własność,
"547570,0",Ursus,5,"75,01",2018,pierwotny,do wykończenia,,apartamentowiec
"495000,0",Ursus,1,52,2004,wtórny,do zamieszkania,pełna własność,blok
"485000,0",Ursus,,93,2019,pierwotny,do wykończenia,pełna własność,
"475000,0",Ursus,2,"67,9",2000,wtórny,do zamieszkania,pełna własność,blok
"467200,0",Ursus,7,"63,92",2018,pierwotny,do wykończenia,,apartamentowiec
"435000,0",Ursus,1,"42,13",2018,wtórny,do zamieszkania,pełna własność,blok
"415000,0",Ursus,5,40,2018,pierwotny,do zamieszkania,pełna własność,blok
"399000,0",Ursus,4,54,2001,wtórny,do zamieszkania,pełna własność,blok
"387000,0",Ursus,1,46,2000,wtórny,,pełna własność,blok
"351000,0",Ursus,3,"40,6",2018,wtórny,,pełna własność,blok
"329990,0",Ursus,parter,"37,2",1965,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"305000,0",Ursus,4,"37,17",1975,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"232000,0",Ursus,2,"28,04",2020,pierwotny,do wykończenia,pełna własność,blok
"223000,0",Ursus,3,"28,04",2020,wtórny,do wykończenia,pełna własność,blok
"179000,0",Ursus,2,32,2002,wtórny,do zamieszkania,udział,apartamentowiec
"4062500,0",Ursynów,1,1625,2008,wtórny,,,blok
"1740000,0",Ursynów,2,171,2000,wtórny,do zamieszkania,pełna własność,blok
"1442200,0",Ursynów,1,"145,66",2010,wtórny,,pełna własność,apartamentowiec
"1260000,0",Ursynów,5,"117,12",2003,wtórny,do zamieszkania,pełna własność,apartamentowiec
"1164900,0",Ursynów,4,140,2000,wtórny,do zamieszkania,,apartamentowiec
"1110000,0",Ursynów,9,80,2010,wtórny,do zamieszkania,spółdzielcze wł. z KW,apartamentowiec
"1099000,0",Ursynów,3,"163,43",2009,wtórny,do zamieszkania,pełna własność,apartamentowiec
"1080000,0",Ursynów,1,"124,9",2000,wtórny,do zamieszkania,pełna własność,apartamentowiec
"990000,0",Ursynów,5,81,2012,wtórny,do zamieszkania,spółdzielcze własnościowe,apartamentowiec
"990000,0",Ursynów,> 10,84,2012,wtórny,do zamieszkania,,blok
"890000,0",Ursynów,4,92,2007,wtórny,do remontu,pełna własność,blok
"799000,0",Ursynów,parter,"112,8",2003,wtórny,do zamieszkania,pełna własność,blok
"799000,0",Ursynów,1,80,2005,wtórny,,,apartamentowiec
"705000,0",Ursynów,5,"76,3",1998,wtórny,,spółdzielcze własnościowe,blok
"700000,0",Ursynów,3,"93,71",1997,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"695000,0",Ursynów,6,"58,45",2006,wtórny,,,apartamentowiec
"695000,0",Ursynów,6,"58,24",2006,pierwotny,do zamieszkania,pełna własność,blok
"690000,0",Ursynów,1,"90,4",1996,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"679000,0",Ursynów,3,"72,05",1994,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"660000,0",Ursynów,10,68,2015,wtórny,do zamieszkania,,apartamentowiec
"600000,0",Ursynów,2,"57,14",2002,wtórny,do zamieszkania,pełna własność,apartamentowiec
"599000,0",Ursynów,9,63,1981,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"598000,0",Ursynów,3,68,1986,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"595000,0",Ursynów,7,"69,1",1977,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"590000,0",Ursynów,4,"63,5",1984,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"590000,0",Ursynów,> 10,"61,2",2001,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"590000,0",Ursynów,4,"63,5",,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"590000,0",Ursynów,1,64,1992,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"583000,0",Ursynów,9,63,1981,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"570000,0",Ursynów,2,"63,9",1985,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"557000,0",Ursynów,6,45,2018,wtórny,do zamieszkania,pełna własność,blok
"555000,0",Ursynów,1,"63,5",1990,wtórny,do wykończenia,spółdzielcze wł. z KW,blok
"550000,0",Ursynów,2,"50,1",2005,wtórny,do zamieszkania,pełna własność,blok
"530000,0",Ursynów,3,"63,5",1994,pierwotny,do zamieszkania,spółdzielcze własnościowe,blok
"515000,0",Ursynów,4,47,2007,wtórny,,pełna własność,blok
"495000,0",Ursynów,9,"52,8",1981,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"490000,0",Ursynów,3,70,1985,wtórny,do zamieszkania,spółdzielcze własnościowe,blok
"489000,0",Ursynów,3,54,1980,wtórny,,pełna własność,blok
"477000,0",Ursynów,3,"60,2",1979,wtórny,do remontu,spółdzielcze własnościowe,blok
"473000,0",Ursynów,5,"41,7",2018,wtórny,do zamieszkania,pełna własność,apartamentowiec
"470000,0",Ursynów,1,"59,13",1982,wtórny,do remontu,spółdzielcze własnościowe,blok
"450000,0",Ursynów,3,"52,91",1982,wtórny,,spółdzielcze własnościowe,blok
"450000,0",Ursynów,2,48,,wtórny,do zamieszkania,,blok
"445000,0",Ursynów,parter,56,1981,wtórny,do zamieszkania,spółdzielcze wł. z KW,blok
"440000,0",Ursynów,1,48,1970,wtórny,,spółdzielcze wł. z KW,blok
"415000,0",Ursynów,1,"46,4",2019,wtórny,do wykończenia,udział,apartamentowiec
"350000,0",Ursynów,10,30,,wtórny,do zamieszkania,pełna własność,blok
"344000,0",Ursynów,2,31,1976,wtórny,,spółdzielcze wł. z KW,blok
"330000,0",Ursynów,parter,"39,62",2020,pierwotny,do wykończenia,pełna własność,blok
"305000,0",Ursynów,parter,"33,91",2019,wtórny,do wykończenia,pełna własność,blok
"305000,0",Ursynów,parter,"33,91",2019,pierwotny,,pełna własność,blok
"288000,0",Ursynów,1,"31,05",2020,wtórny,do wykończenia,pełna własność,blok
"288000,0",Ursynów,2,"31,05",2020,pierwotny,,pełna własność,blok
"272000,0",Ursynów,1,"29,25",2020,pierwotny,,pełna własność,blok
"870000,0",Wawer,parter,"98,34",2004,wtórny,do zamieszkania,pełna własność,szeregowiec
"799000,0",Wawer,1,"131,89",,pierwotny,,pełna własność,apartamentowiec
"777000,0",Wawer,parter,"122,6",2019,pierwotny,do wykończenia,pełna własność,apartamentowiec
"679566,0",Wawer,1,"113,28",2018,pierwotny,do wykończenia,pełna własność,szeregowiec
"647595,0",Wawer,1,"99,63",,pierwotny,,,szeregowiec
"598845,0",Wawer,1,"92,13",2018,pierwotny,do wykończenia,pełna własność,szeregowiec
"585845,0",Wawer,1,"90,13",2018,pierwotny,do wykończenia,pełna własność,szeregowiec
"511160,0",Wawer,1,"78,64",2018,pierwotny,do wykończenia,pełna własność,szeregowiec
"499000,0",Wawer,parter,60,2016,wtórny,do zamieszkania,,
"498000,0",Wawer,2,72,2006,wtórny,do zamieszkania,pełna własność,kamienica
"456495,0",Wawer,1,"70,23",2018,pierwotny,do wykończenia,pełna własność,szeregowiec
"420000,0",Wawer,1,70,2017,pierwotny,do wykończenia,,dom wolnostojący
"413208,0",Wawer,,"57,39",,pierwotny,,pełna własność,apartamentowiec
"380000,0",Wawer,1,72,2019,pierwotny,do wykończenia,pełna własność,
"380000,0",Wawer,1,64,2018,pierwotny,do wykończenia,pełna własność,szeregowiec
